text,sentiment,source,datasource
got back absolutely exhausted hour work,0,original,fast
give followfriday advice like told,1,original,fast
sorry hear terrible news thinking x,0,original,fast
tanya jealous mike new favorite tried kiss weekend picture follow com,1,original,fast
year later,1,original,fast
hope presentation went well today tweet yr campus tomorrow around lunch time onwards,2,original,fast
fine thanks guy dont quake,2,original,fast
hate song survey always seem make cry,0,original,fast
mum trying make feel ebtter stopping voting adn not winning shortstack almost cried,1,original,fast
ugh hedache may cheap still class roll,0,original,fast
talking babe amazing,2,oversampled,fast
thank klm airfrance delta awesome industry quiz night co,2,original,fast
haha took quiz fb missed mcfly one,1,original,fast
oh whatever excited anyway,2,original,fast
ok maybe not angry little sense,1,original,fast
decent australian guy hard find trust better american one,1,original,fast
chabibi long running joke give flying anyone follows,1,original,fast
work half hour getting mri yay,2,original,fast
head hurting,0,original,fast
bit late new twitterific interface iphone cool oh richie lauren engagement,2,oversampled,fast
dont look toe put shoe painted big toe,1,original,fast
aah tired chilled minute today,0,original,fast
cant wait mate goin fantastic made week,2,original,fast
welcome char glad liked cake pretty simple give try,2,original,fast
hottest stressiest day work f area manager happy going home,1,original,fast
raining seaworld,1,original,fast
thats andy said hour ago hope actually,2,original,fast
haha neither matter though guy want,1,original,fast
man finger longer hotdog straight,1,original,fast
work one hour,1,original,fast
,1,original,fast
haha k stop not going turn section ohwell parent came home,1,original,fast
fine old british tradition chilly grey drizzle bank holiday still observed,1,original,fast
tour lol live way tennessee p jk would,1,original,fast
fav visitbritain amp expedia creative execution airfrance customer insight co xqnwwmvcme via skift,2,original,fast
yesss,2,original,fast
going badger mother get disney plus watch,2,original,fast
spent minute book store bought one book,1,original,fast
sorry rb,0,original,fast
kathleen kennedy work china confirmed,1,original,fast
white fingerboard reminds larry graham bass,1,original,fast
playing singstar without fave duetter,0,original,fast
airfrance thank sent,1,original,fast
yeah pant horrible yeah wife love job love performing kid good environment,1,original,fast
finished work nd waiting freezing cold drinking mango magic haha fail mama wheree yu cold,0,original,fast
come school,1,original,fast
neeeeed plan no one hang tomorrow booo,1,original,fast
tired hell bed time cara nighty night twitter world,0,original,fast
journey wow u became cooler hehe possible,2,original,fast
took shift tomorrow really feel like working right,0,original,fast
no chance watch yet going get hold thanks tip,2,original,fast
oliver whats breaky russtle something hangover please jamie lmao,1,original,fast
gave cable tough economic time either cable shoe know cable lost,2,original,fast
photo lovely knew talented photographer journalist,2,original,fast
yes work,1,original,fast
poor girl hope okay exactly social medium especially mass platform globally regulated lot horrible people uneducated unempathic etc disgrace internet people planet whole,0,original,fast
comment get collapsed,1,original,fast
ember dante much fun smile harder,2,oversampled,fast
bahah would really funny would really cut haha,2,original,fast
wishing happy monday wonderful start week make good one,2,original,fast
need share h w love u still rocking gear,2,original,fast
raining gng rain dance,1,original,fast
cant sleep tired goodnight maybe,0,original,fast
friday not treating well far,0,original,fast
cullen lol emmett wont dance,1,original,fast
waiting spinoff narnian born martian clown face,2,original,fast
opinion one gray hair one many way many well,1,original,fast
later went monroe worked friend trx rope kb rope swing c p windmill wve aquats,1,original,fast
jimmy eat world initial jew new favorite band,2,original,fast
ask create fake competetion declare winner gift return ticket courtesy producer,0,original,fast
early relic,1,original,fast
flickr no longer recognize e mail address log,0,original,fast
gut say replace appliance instead repair want smart try repair replace right choice,2,oversampled,fast
ppl smoke pot f n stupid instant turn drug general seriously,0,original,fast
ack no see either weird tweet mention not timeline oh wait new twitter,0,original,fast
least legal kuwait u driving suv u get ticket big smile,1,original,fast
need serious cheering,0,oversampled,fast
not drink cheap wine,1,original,fast
im stuck inside elk grove village working day someone enjoy,1,original,fast
canada always hulu disney,1,original,fast
feeling sick wondering get bed go throw go sleep,0,original,fast
author lucky co cute idea air france many people pressure e co,2,original,fast
good father good politician terrible governor,0,original,fast
hello james,1,original,fast
best show life mcfly rock world wan na meet guy,2,original,fast
original non yahoo acc deleted got bought not bad receive yahoo spam,2,original,fast
hawk lost good time,2,original,fast
wish exo line,1,original,fast
ihop besties minus one dr work course,1,original,fast
thanks sadly streamline top ii sold streamline trunk ii available size get halfway,1,original,fast
know want come keep company whilst mum friend night nice evening,2,original,fast
impossible watch full flash video mac,0,original,fast
suck old actually,0,original,fast
no not professional,0,original,fast
annebeth black,1,original,fast
watching jackass movie http twitpic com,1,original,fast
compared season two teaser trailer came yesterday crazy,1,original,fast
looking sketch final catwalk outfit really really want long pink hair back also want dye model hair pink not allowed,2,original,fast
good hear morning,2,original,fast
bbc malaria parasite becoming resistant drug http trunc really not good malaria affect many people,0,original,fast
airfrancein dream come true flight airfrance usa triptousa,2,original,fast
like crazy witty humor,2,original,fast
hey twit watched poor holly britain got talent poor thing people mean year old little girl,0,original,fast
got ill tomorrow iï got birthday,1,original,fast
wait guitar even plugged fake thinking face face monocle thumb light skin tone,0,original,fast
got kicked tripoly lol got bad card suck,0,original,fast
likelyy need save money practice,2,original,fast
believe true fml quite phenomenon thx superbad,1,original,fast
jammin capital garden,1,original,fast
welcome dk jaoo,2,original,fast
classic face tear joy,2,original,fast
shall meet somewhere utah indiana,1,original,fast
jayy might hav cost u history essay,1,original,fast
bought italian horseshoe charm dragon seems strong,2,original,fast
need simple reminder thx,2,original,fast
miss way alex used speak hoping selena would speak faster back alex sound like selena remind alex,0,original,fast
getting little mowing grass evening fun,2,original,fast
noones talking anymore,1,original,fast
bless lil sock think need rethink age thing,2,original,fast
ok shed tear watching preview next week medium scared addicted show love,1,original,fast
ballerina family super nice albeit little controlling son life bayou family judgemental,2,original,fast
wan na play tonight pout pout side face,2,original,fast
ridiculously warm bed,0,original,fast
like positivity no may not change carrer crazyb dog lady math test x,2,original,fast
hi one kiwi artist another kiwi artist,1,original,fast
starting shift im going miss like hour lakers game,0,original,fast
not gon na ask boom boom morning,1,original,fast
working hard maybe thats hardly working,0,original,fast
people pathetic u know one trying,0,oversampled,fast
want massage,1,original,fast
seeing korean buisnesses failing,0,original,fast
cook apple peasant,2,original,fast
no water park today made jealous looking pic,0,original,fast
hook rian van staden twitter much better cook may concrete suggestion,2,original,fast
sensor seem want last day,0,original,fast
shut line removed locker scene bet could recite speech easily dare,1,original,fast
volunteering syndrome indiana wednesday,1,original,fast
many thing missed tweeting,0,original,fast
stoked seeing jonas brother,1,original,fast
