text,sentiment,source,datasource
mcdonald one worst mcdonald ever whole life lot food cold no sweet tea ever take forever worst even care anyone feel anything think place torn,0,original,medium
definitely energetic lot fun part make much sense song good original definitely would entertaining kid though,1,original,medium
know hate job probably worst location one order correctly telling missing item looked stupid second frie,0,original,medium
great food great costumer service fast order turn around less minute way less bum,1,original,medium
usually enjoy anime style animation excellent movie story nice addition middle earth world awesome wonderful job telling history rohan entertaining well worth time,1,original,medium
fast drive thru service food mcdonald,2,original,medium
interstellar best time no question,2,original,medium
mcdonald horrible service morning breakfast make late work morning management worker need much improvement make wait long minute receive order go mcdonald unless plan late work,0,original,medium
great service,1,original,medium
horrible take creative liberty film supposedly based bram stoker dracula,0,original,medium
best mcdonald dallas great way continue zoo fun walking around dallas zoo day kid always blast clean play area,2,original,medium
proof critic score bought n paid,2,original,medium
love breakfast,1,original,medium
kid love macd safe interactive play space good service sitting place difficult get kid enter macd,2,original,medium
since philippine not rewatch classic movie dad took kid mostly ninja movie first real story dad home country beginning total suspension reality martial art ninja g joe movie really hokey plastic generically cool pastiche silly action anecdote b movie glory proud old cannon movie mindless entertainment actually mean think pick apart crap serf laughed action screen admit fun though never figured final house hill philippine,1,original,medium
actually pilot gas station built property addon stopped pit stop megabus atl marta center peachtree dropped u,1,original,medium
creepy last scene lost agent harker one thing blew made no sense ruined movie,1,original,medium
one greatest film ever seen,2,original,medium
ordered double quarter pounder received big mac hardly line drive thru yet get order right,0,original,medium
fresh beef quarter pounder nice clean restroom great fast service,2,original,medium
slow good,1,original,medium
horrible customer service unprofessional staff,0,original,medium
based child book funny kid loved,2,original,medium
think movie best best probably best adaption game real life best era arcade game,2,original,medium
clean order correct crowded inside no place sit table not used,1,original,medium
movie good bump road emotional ending great adding great acting movie star,1,original,medium
normally watch movie action fantasy movie better expected especially ended love,2,original,medium
solid grisham adaptation level time kill slightly firm worth watch like movie genre,1,original,medium
hour cash night good fresh coffee,1,original,medium
clean fast service pilot one stop shop need gas otherwise,1,original,medium
girl taking order incredibly nice helpful cheerful really got day great start food great done quickly,1,original,medium
fast service friendly courteous people would eat,1,original,medium
food good mean put several pickle yummy burger fry perfect wait little long,1,original,medium
