text,sentiment,source,dataset,datasource
expensive incredibly lifelike cgi animal bely simple time rather boring story one noble guy becomes even nobler one bad guy becomes badder thanks even worse guy lion,0,original,rotten-tomatoes_critics,slow
clear purpose nintendo land play people step forward party game genre also new great way fun friend,1,original,metacritic_critic,slow
dumb script bad cgi poor plotting combine make film feel though bad joke someone expense,0,original,rotten-tomatoes_critics,slow
admirable experimental ambition despite ultimate failure regardless often presentation technique display distracted found several sequence quite moving,1,original,rotten-tomatoes_critics,slow
visual driving improvement compared obvious game still lack crucial aspect safety car smart penalty system aggressive intelligent behaviour driver controlled cpu also content idea codemasters already hand previous installment career mode practice objective classic mode diamond race champion mode previous circuit hockenheim valencia nurburgring india korea instanbul must make return,1,original,metacritic_critic,slow
captain america brave new world take bold swing redefining mean carry shield stick landing,2,original,rotten-tomatoes_critics,slow
diablo iii outstanding game switch port really game justice eternal collection includes content released game update refined modern classic may put time character xbox one version really think switch platform choice going forward able play go feel good diablo iii eternal collection come highly recommended,2,original,metacritic_critic,slow
wonderful visuals brilliant sailing mechanic fun activity like playing music throwing crewmates drinking much grog enough hour sure probably not long term extremely polished wonderful look simple joy sailing sea thief gorgeous world click however long spend visiting outpost island strange wreck time well spent,0,original,metacritic_critic,slow
film likely make audience adult kid alike cry laugh gasp entertains new favorite song whirl away grand spectacle worthy mufasa lion king,1,original,rotten-tomatoes_critics,slow
playerunknown battleground great game ruined technical shortcoming bad control first fixed second tough improve,0,original,metacritic_critic,slow
brady corbet four hour post holocaust epic stunning reflection ambition identity,2,original,rotten-tomatoes_critics,slow
table never looked better gameplay authentic right sound pressure table flipper,2,original,metacritic_critic,slow
violence done men woman omnipresent element today daily news cycle usually go uncommented iewu put element front centre fresh fearless content seems audience want see drove,1,original,rotten-tomatoes_critics,slow
people love story character delighted much people familiar musical looking cinematic escape around holiday,2,original,rotten-tomatoes_critics,slow
game strike superb balance introducing system giving one enough freedom live learn,1,original,metacritic_critic,slow
attempt wit humor seem half hearted best bridget jones mad boy terrible movie mediocre worst never made,1,original,rotten-tomatoes_critics,slow
missing j j macfield island memory combined puzzle platformer gameplay narrative way truly make use medium highlight best potential difficult subject matter leaning toward surreal drive story touch upon aspect humanity rarely explored game,1,original,metacritic_critic,slow
unexpected xbox one knockout year year improvement every respect spectacular visuals make clunkier element painfully obvious,2,original,metacritic_critic,slow
dark tower could better movie not good better mcconaughey elba switched role,0,original,rotten-tomatoes_critics,slow
age gap romance least ridiculous situation bridget jones found renee zellweger leo woodall create natural sweet spark,2,original,rotten-tomatoes_critics,slow
fun filled definite crowd pleaser deadpool wolverine easily carves standout place mcu,1,original,rotten-tomatoes_critics,slow
